year_month,platform_name,media_type,avg_hours_per_user_per_month,monthly_active_users_millions,avg_sessions_per_user_per_month,retention_rate_pct,region
2018-04,Netflix,Streaming,37.77,78.27,8.6,93.2%,Europe
2018-04,Netflix,Streaming,37.77,78.27,8.6,0.932,APAC
2018-05,Netflix,Streaming,36.1,78.46,8.2,0.9329,North America
05/2018,Netflix,Streaming,36.1,78.46,8.2,0.9329,Europe
2018-05,Netflix,Streaming,36.1,78.46,8.2,0.9329,APAC
2018-06,Netflix,Streaming,40.05,79.27,8.8,0.9186,North America
2018-06,Netflix,Streaming,40.05,79.27,8.8,0.9186,Europe
2018-06,Netflix,Streaming,40.05,79.27,8.8,0.9186,APAC
2018-07,Netflix,Streaming,35.91,80.22,8.2,0.9426,North America
2018-07,Netflix,Streaming,35.91,80.22,8.2,0.9426,Europe
2018-07,Netflix,Streaming,35.91,80.22,8.2,0.9426,APAC
2018-08,Netflix,Streaming,38.95,79.8,9.3,94.0%,North America
2018-08,Netflix,Streaming,38.95,79.8,9.3,0.9397,Europe
2018-08,Netflix,Streaming,38.95,79.8,9.3,94.0%,APAC
2018-09,Netflix,Streaming,37.26,77.79,8.2,0.9231,North America
2018-09,Netflix,Streaming,37.26,77.79,8.2,0.9231,Europe
2018-09,Netflix,Streaming,37.26,77.79,8.2,0.9231,APAC
2018-10,Netflix,Streaming,37.64,80.31,8.9,0.9353,North America
2018-10,Netflix,Streaming,37.64,80.31,8.9,0.9353,Europe
2018-10,Netflix,Streaming,37.64,80.31,8.9,0.9353,APAC
11/2018,Netflix,Streaming,37.91,82.86,9.7,0.9304,North America
2018-11,Netflix,Streaming,37.91,82.86,9.7,0.9304,Europe
2018-11,Netflix,Streaming,37.91,82.86,9.7,93.0%,APAC
12/2018,Netflix,Streaming,38.95,78.56,8.7,92.3%,North America
2018-12,Netflix,Streaming,38.95,78.56,8.7,0.9228,Europe
2018-12,Netflix,Streaming,38.95,78.56,8.7,0.9228,APAC
2019-01,Netflix,Streaming,37.81,82.03,8.5,0.9387,North America
2019-01,Netflix,Streaming,37.81,82.03,8.5,0.9387,Europe
2019-01,Netflix,Streaming,37.81,82.03,8.5,0.9387,APAC
02/2019,Netflix,Streaming,37.0,77.9,8.9,0.93,North America
2019-02,Netflix,Streaming,37.0,77.9,8.9,93.0%,Europe
2019-02,Netflix,Streaming,37.0,77.9,8.9,0.93,APAC
2019-03,Netflix,Streaming,38.72,78.76,8.7,0.9367,North America
2019-03,Netflix,Streaming,38.72,78.76,8.7,0.9367,Europe
03/2019,Netflix,Streaming,38.72,78.76,8.7,93.7%,APAC
2019-04,Netflix,Streaming,37.2,81.88,8.0,0.9361,North America
2019-04,Netflix,Streaming,37.2,81.88,8.0,0.9361,Europe
2019-04,Netflix,Streaming,37.2,81.88,8.0,93.6%,APAC
05/2019,Netflix,Streaming,39.19,83.02,8.9,0.9468,North America
2019-05,Netflix,Streaming,39.19,83.02,8.9,0.9468,Europe
2019-05,Netflix,Streaming,39.19,83.02,8.9,0.9468,APAC
2019-06,Netflix,Streaming,36.72,80.35,8.7,0.9417,North America
06/2019,Netflix,Streaming,36.72,80.35,8.7,0.9417,Europe
2019-06,Netflix,Streaming,36.72,80.35,8.7,0.9417,APAC
2019-07,Netflix,Streaming,39.68,90.26,9.0,94.3%,North America
2019-07,Netflix,Streaming,39.68,90.26,9.0,0.9427,Europe
2019-07,Netflix,Streaming,39.68,90.26,9.0,0.9427,APAC
2019-08,Netflix,Streaming,40.47,84.18,8.8,93.4%,North America
2019-08,Netflix,Streaming,40.47,84.18,8.8,0.9343,Europe
2019-08,Netflix,Streaming,40.47,84.18,8.8,0.9343,APAC
2019-09,Netflix,Streaming,38.01,82.73,8.5,0.9331,North America
2019-09,Netflix,Streaming,38.01,82.73,8.5,0.9331,Europe
09/2019,Netflix,Streaming,38.01,82.73,8.5,0.9331,APAC
2019-10,Netflix,Streaming,42.77,79.79,7.8,0.9454,North America
2019-10,Netflix,Streaming,42.77,79.79,7.8,0.9454,Europe
2019-10,Netflix,Streaming,42.77,79.79,7.8,0.9454,APAC
2019-11,Netflix,Streaming,38.72,86.03,8.0,94.0%,North America
2019-11,Netflix,Streaming,38.72,86.03,8.0,0.9396,Europe
2019-11,Netflix,Streaming,38.72,86.03,8.0,0.9396,APAC
2019-12,Netflix,Streaming,38.48,85.53,8.6,0.9322,North America
2019-12,Netflix,Streaming,38.48,85.53,8.6,0.9322,Europe
2019-12,Netflix,Streaming,38.48,85.53,8.6,0.9322,APAC
01/2020,Netflix,Streaming,39.75,83.2,8.8,0.9614,North America
2020-01,Netflix,Streaming,39.75,83.2,8.8,0.9614,Europe
2020-01,Netflix,Streaming,39.75,83.2,8.8,96.1%,APAC
2020-02,Netflix,Streaming,36.77,85.2,8.9,0.9339,North America
2020-02,Netflix,Streaming,36.77,85.2,8.9,0.9339,Europe
2020-02,Netflix,Streaming,36.77,85.2,8.9,0.9339,APAC
2020-03,Netflix,Streaming,38.75,84.92,8.9,0.946,North America
2020-03,Netflix,Streaming,38.75,84.92,8.9,94.6%,Europe
2020-03,Netflix,Streaming,38.75,84.92,8.9,0.946,APAC
2020-04,Netflix,Streaming,38.26,84.81,8.2,0.9368,North America
2020-04,Netflix,Streaming,38.26,84.81,8.2,0.9368,Europe
04/2020,Netflix,Streaming,38.26,84.81,8.2,0.9368,APAC
2020-05,Netflix,Streaming,42.84,86.61,8.9,0.9294,North America
2020-05,Netflix,Streaming,42.84,86.61,8.9,0.9294,Europe
2020-05,Netflix,Streaming,42.84,86.61,8.9,0.9294,APAC
2020-06,Netflix,Streaming,43.5,88.19,8.3,0.9273,North America
2020-06,Netflix,Streaming,43.5,88.19,8.3,92.7%,Europe
2020-06,Netflix,Streaming,43.5,88.19,8.3,0.9273,APAC
2020-07,Netflix,Streaming,42.35,85.03,8.8,0.9474,North America
2020-07,Netflix,Streaming,42.35,85.03,8.8,0.9474,Europe
2020-07,Netflix,Streaming,42.35,85.03,8.8,94.7%,APAC
2020-08,Netflix,Streaming,39.19,86.66,8.1,0.9111,North America
2020-08,Netflix,Streaming,39.19,86.66,8.1,0.9111,Europe
2020-08,Netflix,Streaming,39.19,86.66,8.1,0.9111,APAC
2020-09,Netflix,Streaming,40.33,84.6,7.9,0.9603,North America
2020-09,Netflix,Streaming,40.33,84.6,7.9,0.9603,Europe
2020-09,Netflix,Streaming,40.33,84.6,7.9,96.0%,APAC
2020-10,Netflix,Streaming,40.17,87.69,7.9,0.9589,North America
2020-10,Netflix,Streaming,40.17,87.69,7.9,0.9589,Europe
2020-10,Netflix,Streaming,40.17,87.69,7.9,0.9589,APAC
2020-11,Netflix,Streaming,42.7,87.77,8.7,93.5%,North America
11/2020,Netflix,Streaming,42.7,87.77,8.7,0.9352,Europe
2020-11,Netflix,Streaming,42.7,87.77,8.7,0.9352,APAC
12/2020,Netflix,Streaming,41.39,86.87,8.3,0.9462,North America
2020-12,Netflix,Streaming,41.39,86.87,8.3,94.6%,Europe
2020-12,Netflix,Streaming,41.39,86.87,8.3,0.9462,APAC
2021-01,Netflix,Streaming,41.39,89.72,8.0,0.9619,North America
01/2021,Netflix,Streaming,41.39,89.72,8.0,0.9619,Europe
2021-01,Netflix,Streaming,41.39,89.72,8.0,96.2%,APAC
2021-02,Netflix,Streaming,44.54,84.82,8.8,94.5%,North America
2021-02,Netflix,Streaming,44.54,84.82,8.8,0.945,Europe
02/2021,Netflix,Streaming,44.54,84.82,8.8,0.945,APAC
2021-03,Netflix,Streaming,41.89,87.8,8.3,0.9449,North America
2021-03,Netflix,Streaming,41.89,87.8,8.3,0.9449,Europe
2021-03,Netflix,Streaming,41.89,87.8,8.3,0.9449,APAC
2021-04,Netflix,Streaming,40.72,91.07,8.2,0.9511,North America
2021-04,Netflix,Streaming,40.72,91.07,8.2,0.9511,Europe
2021-04,Netflix,Streaming,40.72,91.07,8.2,0.9511,APAC
2021-05,Netflix,Streaming,43.08,90.31,8.8,0.9561,North America
2021-05,Netflix,Streaming,43.08,90.31,8.8,0.9561,Europe
2021-05,Netflix,Streaming,43.08,90.31,8.8,0.9561,APAC
2021-06,Netflix,Streaming,40.61,88.9,8.8,0.956,North America
2021-06,Netflix,Streaming,40.61,88.9,8.8,0.956,Europe
2021-06,Netflix,Streaming,40.61,88.9,8.8,95.6%,APAC
2021-07,Netflix,Streaming,41.95,90.58,8.2,0.9618,North America
2021-07,Netflix,Streaming,41.95,90.58,8.2,0.9618,Europe
07/2021,Netflix,Streaming,41.95,90.58,8.2,0.9618,APAC
2021-08,Netflix,Streaming,42.93,90.27,9.0,0.9473,North America
08/2021,Netflix,Streaming,42.93,90.27,9.0,0.9473,Europe
2021-08,Netflix,Streaming,42.93,90.27,9.0,0.9473,APAC
2021-09,Netflix,Streaming,43.48,92.63,8.5,0.9631,North America
2021-09,Netflix,Streaming,43.48,92.63,8.5,0.9631,Europe
2021-09,Netflix,Streaming,43.48,92.63,8.5,0.9631,APAC
2021-10,Netflix,Streaming,43.39,90.7,8.4,0.9537,North America
10/2021,Netflix,Streaming,43.39,90.7,8.4,0.9537,Europe
2021-10,Netflix,Streaming,43.39,90.7,8.4,0.9537,APAC
2021-11,Netflix,Streaming,42.64,92.84,9.4,0.9428,North America
2021-11,Netflix,Streaming,42.64,92.84,9.4,0.9428,Europe
2021-11,Netflix,Streaming,42.64,92.84,9.4,0.9428,APAC
2021-12,Netflix,Streaming,41.11,89.55,8.8,0.9631,North America
12/2021,Netflix,Streaming,41.11,89.55,8.8,0.9631,Europe
2021-12,Netflix,Streaming,41.11,89.55,8.8,0.9631,APAC
2022-01,Netflix,Streaming,43.69,93.56,8.1,0.9519,North America
01/2022,Netflix,Streaming,43.69,93.56,8.1,0.9519,Europe
01/2022,Netflix,Streaming,43.69,93.56,8.1,0.9519,APAC
2022-02,Netflix,Streaming,42.99,91.27,8.4,96.2%,North America
2022-02,Netflix,Streaming,42.99,91.27,8.4,96.2%,Europe
2022-02,Netflix,Streaming,42.99,91.27,8.4,96.2%,APAC
2022-03,Netflix,Streaming,41.77,92.31,8.3,0.9571,North America
2022-03,Netflix,Streaming,41.77,92.31,8.3,0.9571,Europe
2022-03,Netflix,Streaming,41.77,92.31,8.3,0.9571,APAC
2022-04,Netflix,Streaming,41.9,93.76,8.3,0.9559,North America
04/2022,Netflix,Streaming,41.9,93.76,8.3,95.6%,Europe
2022-04,Netflix,Streaming,41.9,93.76,8.3,0.9559,APAC
2022-05,Netflix,Streaming,42.56,94.06,7.9,0.9395,North America
2022-05,Netflix,Streaming,42.56,94.06,7.9,0.9395,Europe
2022-05,Netflix,Streaming,42.56,94.06,7.9,0.9395,APAC
2022-06,Netflix,Streaming,42.31,93.5,9.1,95.8%,North America
2022-06,Netflix,Streaming,42.31,93.5,9.1,95.8%,Europe
2022-06,Netflix,Streaming,42.31,93.5,9.1,0.9576,APAC
2022-07,Netflix,Streaming,44.81,93.93,8.1,0.9548,North America
2022-07,Netflix,Streaming,44.81,93.93,8.1,95.5%,Europe
2022-07,Netflix,Streaming,44.81,93.93,8.1,0.9548,APAC
08/2022,Netflix,Streaming,43.62,94.0,8.1,0.9587,North America
2022-08,Netflix,Streaming,43.62,94.0,8.1,95.9%,Europe
08/2022,Netflix,Streaming,43.62,94.0,8.1,0.9587,APAC
2022-09,Netflix,Streaming,44.56,97.97,8.7,0.9549,North America
2022-09,Netflix,Streaming,44.56,97.97,8.7,0.9549,Europe
09/2022,Netflix,Streaming,44.56,97.97,8.7,0.9549,APAC
2022-10,Netflix,Streaming,44.94,94.42,8.5,95.9%,North America
2022-10,Netflix,Streaming,44.94,94.42,8.5,0.9587,Europe
2022-10,Netflix,Streaming,44.94,94.42,8.5,95.9%,APAC
2022-11,Netflix,Streaming,44.18,94.0,8.7,0.9572,North America
2022-11,Netflix,Streaming,44.18,94.0,8.7,0.9572,Europe
2022-11,Netflix,Streaming,44.18,94.0,8.7,0.9572,APAC
2022-12,Netflix,Streaming,46.34,97.79,8.2,0.979,North America
2022-12,Netflix,Streaming,46.34,97.79,8.2,97.9%,Europe
2022-12,Netflix,Streaming,46.34,97.79,8.2,0.979,APAC
2023-01,Netflix,Streaming,45.6,96.57,8.2,0.9799,North America
2023-01,Netflix,Streaming,45.6,96.57,8.2,0.9799,Europe
2023-01,Netflix,Streaming,45.6,96.57,8.2,0.9799,APAC
2023-02,Netflix,Streaming,43.16,95.33,8.3,0.9373,North America
2023-02,Netflix,Streaming,43.16,95.33,8.3,0.9373,Europe
2023-02,Netflix,Streaming,43.16,95.33,8.3,0.9373,APAC
2023-03,Netflix,Streaming,43.41,97.15,9.3,0.9624,North America
03/2023,Netflix,Streaming,43.41,97.15,9.3,0.9624,Europe
2023-03,Netflix,Streaming,43.41,97.15,9.3,0.9624,APAC
2023-04,Netflix,Streaming,46.1,96.02,8.7,0.9505,North America
04/2023,Netflix,Streaming,46.1,96.02,8.7,0.9505,Europe
2023-04,Netflix,Streaming,46.1,96.02,8.7,0.9505,APAC
2023-05,Netflix,Streaming,42.82,101.16,8.3,0.9718,North America
2023-05,Netflix,Streaming,42.82,101.16,8.3,0.9718,Europe
2023-05,Netflix,Streaming,42.82,101.16,8.3,97.2%,APAC
2023-06,Netflix,Streaming,42.36,100.53,9.0,95.9%,North America
2023-06,Netflix,Streaming,42.36,100.53,9.0,0.9594,Europe
2023-06,Netflix,Streaming,42.36,100.53,9.0,0.9594,APAC
2023-07,Netflix,Streaming,42.66,96.95,8.5,0.9611,North America
2023-07,Netflix,Streaming,42.66,96.95,8.5,96.1%,Europe
2023-07,Netflix,Streaming,42.66,96.95,8.5,0.9611,APAC
2023-08,Netflix,Streaming,44.51,99.72,8.4,0.9508,North America
2023-08,Netflix,Streaming,44.51,99.72,8.4,0.9508,Europe
2023-08,Netflix,Streaming,44.51,99.72,8.4,0.9508,APAC
2023-09,Netflix,Streaming,45.49,99.83,8.0,0.9691,North America
2023-09,Netflix,Streaming,45.49,99.83,8.0,0.9691,Europe
09/2023,Netflix,Streaming,45.49,99.83,8.0,96.9%,APAC
10/2023,Netflix,Streaming,43.14,101.68,8.2,0.9658,North America
2023-10,Netflix,Streaming,43.14,101.68,8.2,96.6%,Europe
2023-10,Netflix,Streaming,43.14,101.68,8.2,0.9658,APAC
2023-11,Netflix,Streaming,47.89,99.68,8.5,0.9748,North America
2023-11,Netflix,Streaming,47.89,99.68,8.5,0.9748,Europe
11/2023,Netflix,Streaming,47.89,99.68,8.5,97.5%,APAC
2023-12,Netflix,Streaming,48.79,103.29,8.9,96.1%,North America
12/2023,Netflix,Streaming,48.79,103.29,8.9,0.961,Europe
2023-12,Netflix,Streaming,48.79,103.29,8.9,0.961,APAC
2024-01,Netflix,Streaming,46.79,102.84,8.8,0.9544,North America
01/2024,Netflix,Streaming,46.79,102.84,8.8,0.9544,Europe
2024-01,Netflix,Streaming,46.79,102.84,8.8,0.9544,APAC
2024-02,Netflix,Streaming,47.54,96.91,7.6,0.9527,North America
2024-02,Netflix,Streaming,47.54,96.91,7.6,95.3%,Europe
02/2024,Netflix,Streaming,47.54,96.91,7.6,0.9527,APAC
2024-03,Netflix,Streaming,45.68,102.19,8.5,0.98,North America
2024-03,Netflix,Streaming,45.68,102.19,8.5,98.0%,Europe
2024-03,Netflix,Streaming,45.68,102.19,8.5,98.0%,APAC
04/2024,Netflix,Streaming,48.65,98.31,8.5,0.9485,North America
2024-04,Netflix,Streaming,48.65,98.31,8.5,0.9485,Europe
04/2024,Netflix,Streaming,48.65,98.31,8.5,0.9485,APAC
2024-05,Netflix,Streaming,46.91,101.33,8.5,0.9453,North America
2024-05,Netflix,Streaming,46.91,101.33,8.5,0.9453,Europe
2024-05,Netflix,Streaming,46.91,101.33,8.5,0.9453,APAC
2024-06,Netflix,Streaming,44.51,103.06,8.1,0.9702,North America
2024-06,Netflix,Streaming,44.51,103.06,8.1,0.9702,Europe
2024-06,Netflix,Streaming,44.51,103.06,8.1,0.9702,APAC
2024-07,Netflix,Streaming,45.82,99.93,8.9,0.9664,North America
2024-07,Netflix,Streaming,45.82,99.93,8.9,0.9664,Europe
2024-07,Netflix,Streaming,45.82,99.93,8.9,96.6%,APAC
08/2024,Netflix,Streaming,45.24,103.38,8.2,96.2%,North America
2024-08,Netflix,Streaming,45.24,103.38,8.2,0.9622,Europe
2024-08,Netflix,Streaming,45.24,103.38,8.2,0.9622,APAC
2024-09,Netflix,Streaming,46.69,100.63,8.0,0.9625,North America
2024-09,Netflix,Streaming,46.69,100.63,8.0,0.9625,Europe
2024-09,Netflix,Streaming,46.69,100.63,8.0,0.9625,APAC
2024-10,Netflix,Streaming,49.92,103.1,8.6,0.9615,North America
2024-10,Netflix,Streaming,49.92,103.1,8.6,0.9615,Europe
2024-10,Netflix,Streaming,49.92,103.1,8.6,0.9615,APAC
2024-11,Netflix,Streaming,46.94,102.91,8.8,0.9751,North America
11/2024,Netflix,Streaming,46.94,102.91,8.8,97.5%,Europe
2024-11,Netflix,Streaming,46.94,102.91,8.8,0.9751,APAC
2024-12,Netflix,Streaming,46.44,102.52,7.5,0.9667,North America
12/2024,Netflix,Streaming,46.44,102.52,7.5,0.9667,Europe
2024-12,Netflix,Streaming,46.44,102.52,7.5,0.9667,APAC
2015-01,Hulu,Streaming,17.73,37.73,5.9,86.6%,North America
01/2015,Hulu,Streaming,17.73,37.73,5.9,0.8664,Europe
2015-01,Hulu,Streaming,17.73,37.73,5.9,0.8664,APAC
2015-03,Hulu,Streaming,21.02,35.97,6.3,0.8818,North America
2015-03,Hulu,Streaming,21.02,35.97,6.3,0.8818,Europe
2015-03,Hulu,Streaming,21.02,35.97,6.3,0.8818,APAC
2015-05,Hulu,Streaming,20.13,33.79,6.1,0.8359,North America
2015-05,Hulu,Streaming,20.13,33.79,6.1,83.6%,Europe
2015-05,Hulu,Streaming,20.13,33.79,6.1,0.8359,APAC
2015-06,Hulu,Streaming,19.27,33.03,5.7,84.6%,North America
2015-06,Hulu,Streaming,19.27,33.03,5.7,0.846,Europe
2015-06,Hulu,Streaming,19.27,33.03,5.7,0.846,APAC
2015-07,Hulu,Streaming,23.01,37.81,6.4,0.8529,North America
2015-07,Hulu,Streaming,23.01,37.81,6.4,0.8529,Europe
2015-07,Hulu,Streaming,23.01,37.81,6.4,0.8529,APAC
2015-08,Hulu,Streaming,20.68,34.5,6.2,0.8687,North America
2015-08,Hulu,Streaming,20.68,34.5,6.2,0.8687,Europe
2015-08,Hulu,Streaming,20.68,34.5,6.2,0.8687,APAC
2015-09,Hulu,Streaming,19.08,36.02,5.6,0.8452,North America
2015-09,Hulu,Streaming,19.08,36.02,5.6,0.8452,Europe
2015-09,Hulu,Streaming,19.08,36.02,5.6,0.8452,APAC
2015-10,Hulu,Streaming,22.11,40.39,6.2,0.8405,North America
2015-10,Hulu,Streaming,22.11,40.39,6.2,0.8405,Europe
2015-10,Hulu,Streaming,22.11,40.39,6.2,0.8405,APAC
2015-11,Hulu,Streaming,19.82,35.78,5.7,0.8491,North America
11/2015,Hulu,Streaming,19.82,35.78,5.7,0.8491,Europe
2015-11,Hulu,Streaming,19.82,35.78,5.7,0.8491,APAC
2015-12,Hulu,Streaming,20.95,35.26,6.0,0.8582,North America
2015-12,Hulu,Streaming,20.95,35.26,6.0,85.8%,Europe
2015-12,Hulu,Streaming,20.95,35.26,6.0,0.8582,APAC
2016-01,Hulu,Streaming,20.6,35.28,6.2,85.0%,North America
2016-01,Hulu,Streaming,20.6,35.28,6.2,0.8502,Europe
2016-01,Hulu,Streaming,20.6,35.28,6.2,0.8502,APAC
2016-02,Hulu,Streaming,21.79,35.32,6.2,0.8575,North America
2016-02,Hulu,Streaming,21.79,35.32,6.2,0.8575,Europe
