survey_year,respondent_id,switched_from,switched_to,primary_switch_reason,secondary_switch_reason,age_group,region,household_income_bracket,satisfaction_score
2015,11232,cable tv,Netflix,Price,,35-44,Midwest,>$150K,5.0
2015,10054,Cable television,Netflix,Bundling,,55+,South,$75K-$150K,5.0
2015,11149,newspaper,Apple TV+,Device Availability,,35-44,Midwest,>$150K,5.52
2015,10407,Network TV,Disney+,Bundling,,45-54,Northeast,$75K-$150K,9.0
2015,11466,broadcast tv,Paramount+,Recommendation,Content Selection,55+,West,$35K-$75K,6.0
2015,11330,Cable,Max,Content Selection,,25-34,Northeast,<$35K,6.0
2015,11436,Satellite Radio,Paramount+,Recommendation,,55+,South,>$150K,5.45
2015,10859,Satellite Radio,Peacock,Content Selection,Device Availability,55+,West,<$35K,7.0
2015,10451,Cable,Paramount+,Device Availability,,55+,Midwest,>$150K,5.0
2015,10919,Broadcast,Paramount+,Recommendation,Content Selection,35-44,West,$35K-$75K,4.93
2015,11206,cable tv,Apple TV+,Convenience,,18-24,South,$35K-$75K,7.13
2015,10569,Network TV,Peacock,Price,Recommendation,45-54,Northeast,>$150K,10.0
2015,11657,Cable television,Peacock,Bundling,,55+,South,>$150K,
2015,11780,Cable television,Disney+,Recommendation,,55+,Northeast,>$150K,9.0
2015,10013,Cable television,Disney+,Recommendation,Convenience,45-54,Midwest,$35K-$75K,5.23
2015,11554,Newspaper,Max,Price,,55+,Northeast,$75K-$150K,7.26
2015,11650,Print,Netflix,Content Selection,Price,55+,South,$35K-$75K,8.68
2015,10326,broadcast tv,Disney+,Bundling,,18-24,South,$75K-$150K,8.71
2015,11429,Cable television,Peacock,Device Availability,Bundling,25-34,Northeast,$75K-$150K,8.0
2015,10865,satellite radio,Spotify,Recommendation,,18-24,Midwest,<$35K,5.0
2015,10696,cable tv,Paramount+,Device Availability,Content Selection,55+,Midwest,>$150K,4.0
2015,10318,Cable TV,Max,Recommendation,Recommendation,55+,West,$75K-$150K,
2015,10440,Satellite radio,Paramount+,Content Selection,Convenience,35-44,Midwest,$75K-$150K,4.76
2015,11960,Broadcast,Paramount+,Device Availability,,45-54,Northeast,<$35K,6.0
2015,11563,CABLE TV,Apple TV+,Recommendation,,35-44,West,$75K-$150K,5.62
2015,10689,broadcast tv,Hulu,Device Availability,,25-34,South,$35K-$75K,8.39
2015,10189,broadcast tv,Hulu,Content Selection,Convenience,25-34,Midwest,<$35K,
2015,10778,cable tv,Disney+,Device Availability,,45-54,Northeast,<$35K,6.0
2015,10198,Broadcast,Netflix,Convenience,,45-54,Northeast,<$35K,6.23
2015,10735,CABLE TV,Max,Price,,18-24,West,$35K-$75K,7.0
2015,11735,Print Media,YouTube,Recommendation,Bundling,18-24,Northeast,$35K-$75K,5.81
2015,10704,Broadcast,Netflix,Recommendation,,55+,West,$75K-$150K,
2015,11236,cable tv,Paramount+,Price,,35-44,South,>$150K,7.76
2015,10541,Cable TV,Disney+,Convenience,,55+,Midwest,>$150K,8.0
2015,11652,broadcast tv,Spotify,Bundling,,18-24,Northeast,>$150K,
2015,10088,CABLE TV,YouTube,Price,,35-44,Northeast,$35K-$75K,4.0
2015,11494,print media,YouTube,Recommendation,,45-54,Northeast,>$150K,6.0
2015,10940,Cable television,Max,Device Availability,,55+,Northeast,>$150K,8.12
2015,11098,Cable television,Spotify,Price,,55+,West,>$150K,9.0
2015,10255,Broadcast TV,Amazon Prime Video,Convenience,,35-44,West,>$150K,8.0
2015,11992,Broadcast,Disney+,Convenience,,55+,West,<$35K,7.0
2015,11888,Broadcast,Paramount+,Device Availability,Device Availability,35-44,West,>$150K,10.21
2015,10775,Network TV,Amazon Prime Video,Bundling,,25-34,Northeast,$75K-$150K,7.0
2015,10161,Cable TV,Max,Device Availability,Bundling,55+,West,$35K-$75K,3.0
2015,11130,CABLE TV,Peacock,Recommendation,,25-34,South,>$150K,
2015,10600,Network TV,Peacock,Device Availability,,25-34,West,<$35K,10.0
2015,11698,Cable TV,Paramount+,Price,,45-54,Northeast,$35K-$75K,5.0
2015,11287,Print Media,YouTube,Device Availability,Price,35-44,West,$75K-$150K,8.0
2015,11266,Broadcast TV,YouTube,Price,Device Availability,35-44,South,<$35K,6.0
2015,11813,broadcast tv,Netflix,Price,Price,35-44,Midwest,$75K-$150K,7.13
2015,11764,Broadcast,Disney+,Content Selection,Recommendation,55+,South,>$150K,7.65
2015,10740,Cable TV,Paramount+,Convenience,,25-34,Northeast,>$150K,6.0
2015,11182,Cable television,Max,Recommendation,,25-34,West,>$150K,8.18
2015,10393,Broadcast TV,Peacock,Convenience,Device Availability,18-24,West,$75K-$150K,7.9
2015,11442,Satellite radio,Amazon Prime Video,Bundling,Device Availability,25-34,Northeast,<$35K,6.0
2015,10142,cable tv,Apple TV+,Device Availability,Content Selection,25-34,Midwest,$75K-$150K,8.61
2015,10093,SiriusXM,Max,Device Availability,,18-24,West,<$35K,10.0
2015,11354,newspaper,Apple TV+,Price,,18-24,Midwest,<$35K,10.0
2015,10466,Network TV,Apple TV+,Price,,45-54,Northeast,$75K-$150K,
2015,11583,satellite radio,Peacock,Price,Price,35-44,West,<$35K,6.0
2015,10592,Cable television,Apple TV+,Device Availability,,55+,West,$35K-$75K,9.0
2015,10163,Print Media,Netflix,Device Availability,Recommendation,45-54,South,$75K-$150K,5.0
2015,11751,broadcast tv,Netflix,Recommendation,Price,45-54,Northeast,$35K-$75K,
2015,11774,Satellite radio,Disney+,Bundling,Bundling,25-34,South,$35K-$75K,4.91
2015,10206,Print,Max,Content Selection,,55+,Midwest,$35K-$75K,10.0
2015,10928,satellite radio,Netflix,Content Selection,Content Selection,45-54,Northeast,<$35K,9.0
2015,11301,Broadcast TV,Paramount+,Bundling,Bundling,18-24,Midwest,>$150K,7.0
2015,11708,Broadcast TV,Paramount+,Device Availability,,18-24,Northeast,$75K-$150K,6.45
2015,10747,CABLE TV,Spotify,Device Availability,Bundling,55+,Midwest,>$150K,4.89
2015,10333,Broadcast,Peacock,Recommendation,,45-54,Midwest,>$150K,7.0
2015,10758,cable tv,Max,Convenience,,45-54,Northeast,<$35K,7.0
2015,10727,Satellite Radio,YouTube,Bundling,,18-24,West,$75K-$150K,6.0
2015,10429,Broadcast TV,Max,Bundling,Price,55+,South,$35K-$75K,6.0
2015,11372,cable tv,YouTube,Content Selection,,55+,Northeast,$75K-$150K,
2015,10546,cable tv,Apple TV+,Convenience,Content Selection,55+,West,<$35K,
2015,11437,Broadcast,Peacock,Recommendation,,25-34,Midwest,$75K-$150K,9.0
2015,11918,Broadcast TV,Netflix,Content Selection,Bundling,18-24,Northeast,$75K-$150K,5.0
2015,11399,CABLE TV,Hulu,Convenience,Convenience,55+,West,$75K-$150K,
2015,11327,CABLE TV,Netflix,Price,Content Selection,25-34,Midwest,$75K-$150K,6.69
2015,10146,Cable,Spotify,Bundling,,35-44,Northeast,>$150K,7.0
2015,11247,Cable TV,Apple TV+,Bundling,Recommendation,45-54,Midwest,<$35K,3.0
2015,11300,broadcast tv,Hulu,Recommendation,,25-34,West,>$150K,9.0
2015,10350,cable tv,Amazon Prime Video,Convenience,,18-24,Northeast,$35K-$75K,8.0
2015,11093,Satellite radio,Hulu,Content Selection,Content Selection,55+,South,<$35K,6.0
2015,11493,Network TV,YouTube,Device Availability,,55+,Midwest,$75K-$150K,7.0
2015,10334,Cable TV,Apple TV+,Bundling,Recommendation,45-54,Northeast,<$35K,7.35
2015,10946,Broadcast TV,YouTube,Bundling,,45-54,Northeast,>$150K,9.0
2015,10777,Broadcast TV,Paramount+,Price,,35-44,Northeast,$35K-$75K,
2015,10552,Network TV,Spotify,Bundling,,35-44,Midwest,$75K-$150K,4.44
2015,11895,broadcast tv,Hulu,Convenience,Device Availability,45-54,Midwest,$75K-$150K,9.0
2015,11310,print media,Apple TV+,Price,,25-34,Midwest,$75K-$150K,10.0
2015,11409,Print Media,Spotify,Recommendation,,35-44,South,<$35K,6.0
2015,11140,cable tv,Max,Content Selection,,35-44,West,$35K-$75K,
2015,10449,Satellite Radio,Spotify,Bundling,,55+,Northeast,$75K-$150K,8.0
2015,11402,Broadcast,Disney+,Content Selection,,55+,South,>$150K,8.0
2015,10664,Network TV,Amazon Prime Video,Bundling,Recommendation,25-34,Midwest,>$150K,7.26
2015,11726,CABLE TV,Peacock,Content Selection,,55+,South,$75K-$150K,9.0
2015,11573,Broadcast TV,Max,Price,,35-44,West,$35K-$75K,7.46
2015,11589,Newspaper,Apple TV+,Price,Recommendation,55+,Midwest,$35K-$75K,6.0
2015,10114,cable tv,Disney+,Content Selection,Recommendation,25-34,West,>$150K,7.0
2015,10469,Cable,Disney+,Bundling,,55+,West,<$35K,7.02
2015,11683,Network TV,Hulu,Price,,45-54,Northeast,$35K-$75K,5.49
2015,11648,cable tv,Amazon Prime Video,Bundling,Device Availability,18-24,Midwest,<$35K,9.0
2015,10646,Cable television,Netflix,Device Availability,Convenience,35-44,Northeast,$75K-$150K,6.0
2015,10821,Broadcast TV,YouTube,Device Availability,,25-34,Northeast,$75K-$150K,4.0
2015,10548,Network TV,Disney+,Content Selection,Recommendation,18-24,Midwest,$35K-$75K,
2015,10135,Cable TV,Apple TV+,Convenience,,55+,West,$75K-$150K,9.0
2015,10432,cable tv,Max,Price,,45-54,West,>$150K,7.0
2015,11870,Newspaper,Paramount+,Convenience,,55+,Midwest,<$35K,7.0
2015,11931,broadcast tv,Hulu,Price,Convenience,35-44,West,>$150K,6.0
2015,11161,broadcast tv,YouTube,Recommendation,Price,18-24,West,$75K-$150K,3.81
2015,11794,SiriusXM,Netflix,Content Selection,Device Availability,35-44,Midwest,>$150K,6.55
2015,11470,Cable television,Apple TV+,Convenience,Price,55+,South,$75K-$150K,4.71
2015,10644,Network TV,Spotify,Recommendation,,18-24,Midwest,$75K-$150K,8.36
2015,10435,Network TV,Amazon Prime Video,Price,Price,45-54,South,>$150K,10.0
2015,11342,Broadcast TV,Spotify,Bundling,Convenience,25-34,South,$75K-$150K,6.74
2015,11022,Cable,Amazon Prime Video,Recommendation,Bundling,55+,Midwest,>$150K,7.55
2015,10810,Cable television,Spotify,Recommendation,,55+,Northeast,$35K-$75K,5.0
2015,11811,broadcast tv,Disney+,Bundling,,25-34,South,>$150K,3.0
2015,11872,Cable,Apple TV+,Device Availability,Bundling,35-44,Northeast,$75K-$150K,7.0
2015,11316,cable tv,YouTube,Bundling,Device Availability,25-34,South,$35K-$75K,5.0
2015,10939,Broadcast TV,Hulu,Price,,55+,Midwest,$35K-$75K,4.0
2015,10292,Network TV,Spotify,Convenience,,35-44,West,$35K-$75K,7.72
2015,10542,Cable television,Peacock,Recommendation,,35-44,South,$75K-$150K,4.0
2015,10505,Print Media,Peacock,Content Selection,,55+,Northeast,$75K-$150K,6.85
2015,11525,Cable television,YouTube,Recommendation,Content Selection,35-44,Midwest,$35K-$75K,8.0
2015,11103,Network TV,Max,Recommendation,Recommendation,55+,West,$35K-$75K,
2015,10538,Network TV,Max,Bundling,Price,45-54,South,$75K-$150K,8.0
2015,11529,Cable television,Netflix,Bundling,,35-44,Midwest,<$35K,5.0
2015,11197,Broadcast TV,Disney+,Price,Convenience,55+,Midwest,$35K-$75K,8.0
2015,10877,Broadcast TV,Netflix,Content Selection,,45-54,West,$35K-$75K,5.0
2015,11838,CABLE TV,Max,Bundling,Bundling,55+,West,$75K-$150K,5.46
2015,11195,Cable TV,Peacock,Bundling,Device Availability,18-24,West,$75K-$150K,10.0
2015,10817,Network TV,Disney+,Bundling,,55+,West,$35K-$75K,6.15
2015,10741,Broadcast TV,Amazon Prime Video,Price,Recommendation,25-34,West,$35K-$75K,4.0
2015,10283,Broadcast TV,Disney+,Bundling,Convenience,45-54,West,$75K-$150K,8.0
2015,11043,broadcast tv,Max,Bundling,,25-34,Midwest,$75K-$150K,7.56
2015,11010,Cable television,Apple TV+,Recommendation,Device Availability,35-44,Midwest,<$35K,10.0
2015,10186,SiriusXM,Apple TV+,Content Selection,Convenience,18-24,Midwest,>$150K,5.0
2015,11547,CABLE TV,Max,Content Selection,Device Availability,55+,South,$35K-$75K,
2015,10096,print media,Amazon Prime Video,Price,Convenience,45-54,Northeast,$35K-$75K,9.0
2015,11763,Newspaper,Paramount+,Device Availability,Convenience,35-44,Midwest,<$35K,6.87
2015,10224,Broadcast TV,Disney+,Recommendation,,25-34,Northeast,>$150K,7.0
2015,10313,Cable TV,Netflix,Convenience,,18-24,Midwest,$75K-$150K,6.0
2015,11285,Broadcast,Spotify,Recommendation,Price,35-44,South,>$150K,
2015,10327,cable tv,YouTube,Device Availability,,25-34,West,>$150K,4.5
2015,11622,Broadcast,Disney+,Recommendation,Content Selection,18-24,Midwest,>$150K,7.0
2015,11393,Broadcast TV,Max,Device Availability,Content Selection,18-24,Northeast,>$150K,10.0
2015,11221,broadcast tv,Hulu,Device Availability,,35-44,Midwest,$35K-$75K,7.0
2015,10130,Network TV,Spotify,Recommendation,,25-34,South,<$35K,8.0
2015,10788,CABLE TV,Hulu,Price,,55+,South,$35K-$75K,9.0
2015,10781,Network TV,Hulu,Bundling,Price,45-54,South,>$150K,9.84
2015,11220,broadcast tv,Netflix,Recommendation,Price,25-34,Northeast,<$35K,4.32
2015,10958,SiriusXM,Netflix,Convenience,Content Selection,45-54,Midwest,>$150K,8.0
2015,11083,Cable TV,Spotify,Content Selection,,35-44,Northeast,$35K-$75K,9.0
2015,10514,Satellite Radio,Max,Recommendation,,55+,West,>$150K,6.72
2015,11988,cable tv,Amazon Prime Video,Device Availability,,18-24,West,<$35K,7.0
2015,11133,Broadcast TV,Amazon Prime Video,Device Availability,Recommendation,25-34,South,<$35K,7.0
2015,11762,CABLE TV,Apple TV+,Bundling,,35-44,South,$75K-$150K,10.0
2015,11930,CABLE TV,YouTube,Device Availability,,45-54,West,<$35K,3.0
2015,10023,broadcast tv,Peacock,Recommendation,Recommendation,25-34,West,$35K-$75K,8.0
2015,11476,newspaper,Peacock,Recommendation,,25-34,West,$35K-$75K,6.0
2015,10234,Cable television,Apple TV+,Price,,25-34,Northeast,$75K-$150K,
2015,11396,CABLE TV,Spotify,Content Selection,,35-44,Midwest,<$35K,8.51
2015,11812,Network TV,Amazon Prime Video,Device Availability,,25-34,West,$35K-$75K,4.0
2015,11099,cable tv,Apple TV+,Bundling,,45-54,Northeast,>$150K,6.0
2015,11537,cable tv,Peacock,Price,,25-34,South,<$35K,7.0
2015,11574,cable tv,Amazon Prime Video,Recommendation,,25-34,West,$75K-$150K,10.0
2015,11312,Newspaper,Paramount+,Content Selection,,35-44,South,$35K-$75K,6.0
2015,10601,Broadcast TV,Spotify,Price,,18-24,Northeast,<$35K,5.0
2015,10890,Cable,Netflix,Content Selection,,35-44,Northeast,>$150K,7.0
2015,10323,cable tv,Spotify,Convenience,Device Availability,45-54,South,<$35K,7.0
2015,10929,CABLE TV,Spotify,Convenience,,35-44,West,<$35K,6.0
2015,10006,Cable TV,Netflix,Price,Recommendation,55+,West,<$35K,8.0
2015,11953,Cable television,Apple TV+,Bundling,,18-24,Northeast,$35K-$75K,8.0
2015,11478,Cable TV,Max,Bundling,,18-24,South,$75K-$150K,
2015,11793,Cable,Peacock,Price,Bundling,25-34,West,$75K-$150K,5.0
2015,11473,cable tv,Netflix,Price,Price,35-44,West,$75K-$150K,
2015,10539,Cable television,Paramount+,Content Selection,Recommendation,45-54,South,>$150K,9.0
2015,11990,Cable,Peacock,Device Availability,,25-34,West,$75K-$150K,8.08
2015,11025,Newspaper,Apple TV+,Convenience,Price,25-34,West,>$150K,4.78
2015,11560,broadcast tv,Peacock,Price,Recommendation,18-24,South,$35K-$75K,6.04
2015,10365,cable tv,Paramount+,Content Selection,Recommendation,35-44,West,$75K-$150K,6.08
2015,11039,Broadcast,Paramount+,Price,Price,45-54,Midwest,>$150K,7.0
2015,11869,CABLE TV,Disney+,Convenience,Device Availability,25-34,West,$75K-$150K,8.0
2015,10217,Broadcast,Apple TV+,Recommendation,Recommendation,35-44,Northeast,$35K-$75K,8.0
2015,11782,Broadcast TV,Paramount+,Device Availability,Convenience,18-24,West,>$150K,7.78
2015,11280,Network TV,Hulu,Recommendation,,45-54,West,>$150K,8.0
2015,10611,CABLE TV,YouTube,Device Availability,,18-24,South,$75K-$150K,8.0
2015,11723,broadcast tv,Peacock,Price,Convenience,25-34,South,>$150K,9.0
2015,11308,Broadcast,Apple TV+,Price,,35-44,West,<$35K,10.0
2015,10765,Broadcast,Spotify,Recommendation,Price,45-54,West,$75K-$150K,
2015,11561,Cable TV,Netflix,Convenience,,25-34,South,$35K-$75K,5.0
2015,10330,Satellite radio,Disney+,Device Availability,,45-54,Northeast,$35K-$75K,6.0
2015,11104,Cable,Amazon Prime Video,Convenience,,18-24,Northeast,$35K-$75K,6.0
2015,11952,broadcast tv,YouTube,Recommendation,,55+,Northeast,$75K-$150K,8.0
2015,11594,cable tv,YouTube,Bundling,Content Selection,35-44,Northeast,$35K-$75K,6.0
2015,11889,Broadcast,YouTube,Recommendation,Recommendation,55+,South,$35K-$75K,7.88
2016,11648,Broadcast TV,Peacock,Content Selection,,25-34,Midwest,$35K-$75K,9.0
2016,11990,Cable,Netflix,Recommendation,,25-34,West,<$35K,4.19
2016,10928,Broadcast,YouTube,Content Selection,,45-54,Northeast,<$35K,6.0
2016,11220,Cable TV,Amazon Prime Video,Recommendation,Price,18-24,Midwest,$75K-$150K,3.67
2016,10006,Satellite radio,Disney+,Price,,18-24,South,>$150K,6.0
2016,11116,Network TV,Amazon Prime Video,Price,,25-34,Northeast,>$150K,8.0
2016,11827,Satellite radio,Max,Device Availability,Bundling,55+,Midwest,<$35K,8.0
2016,10407,Network TV,Max,Device Availability,Content Selection,45-54,West,<$35K,5.0
2016,10186,Cable TV,Apple TV+,Convenience,Bundling,45-54,Midwest,$35K-$75K,7.16
2016,10539,cable tv,Amazon Prime Video,Price,,45-54,Midwest,>$150K,2.0
2016,11561,Broadcast,Max,Price,Bundling,25-34,South,$75K-$150K,5.0
2016,10664,Cable television,Amazon Prime Video,Price,Recommendation,18-24,West,<$35K,8.0
2016,10501,Broadcast TV,Netflix,Device Availability,Price,25-34,West,$75K-$150K,3.69
2016,10919,cable tv,Hulu,Price,Recommendation,35-44,Northeast,$75K-$150K,6.0
2016,11889,Cable television,Spotify,Convenience,Bundling,25-34,Midwest,$35K-$75K,7.0
2016,11429,CABLE TV,Netflix,Price,,18-24,South,<$35K,8.0
2016,11337,Cable TV,Spotify,Device Availability,,45-54,South,$75K-$150K,7.0
2016,11013,Broadcast TV,Spotify,Device Availability,,25-34,South,<$35K,10.8
2016,10837,broadcast tv,Max,Convenience,Recommendation,18-24,Midwest,$35K-$75K,5.99
2016,11402,Cable television,Amazon Prime Video,Device Availability,,25-34,South,<$35K,9.85
2016,11007,Broadcast TV,Apple TV+,Price,,45-54,Midwest,<$35K,8.0
2016,10851,print media,Max,Price,Content Selection,55+,West,$75K-$150K,10.0
2016,11454,Broadcast,Peacock,Price,,18-24,West,$35K-$75K,7.0
2016,11720,broadcast tv,Apple TV+,Recommendation,Price,25-34,South,<$35K,8.2
2016,10909,Network TV,Hulu,Bundling,Content Selection,45-54,Midwest,>$150K,7.0
2016,11000,Satellite Radio,Amazon Prime Video,Convenience,Device Availability,25-34,Midwest,>$150K,8.0
2016,10342,Cable,Netflix,Recommendation,,55+,South,<$35K,3.64
2016,10169,Satellite radio,Disney+,Content Selection,,35-44,Northeast,$75K-$150K,7.57
2016,11157,print media,Paramount+,Content Selection,Convenience,18-24,Northeast,>$150K,10.0
2016,10063,Network TV,Peacock,Content Selection,Content Selection,35-44,Midwest,>$150K,8.08
2016,11629,Broadcast,Max,Recommendation,Bundling,45-54,Northeast,<$35K,7.0
2016,11558,Broadcast TV,Peacock,Device Availability,Bundling,45-54,Midwest,$75K-$150K,7.76
2016,10451,Cable,Netflix,Convenience,Recommendation,55+,Midwest,$35K-$75K,7.62
2016,10598,Satellite Radio,Amazon Prime Video,Bundling,,45-54,Midwest,$35K-$75K,7.0
2016,10066,satellite radio,YouTube,Price,,35-44,South,$35K-$75K,9.0
2016,10562,Cable TV,Hulu,Price,Content Selection,18-24,West,<$35K,4.0
2016,10460,satellite radio,Disney+,Convenience,Content Selection,55+,South,<$35K,9.0
2016,11101,Newspaper,YouTube,Price,Convenience,25-34,South,>$150K,4.0
2016,10591,Broadcast,Spotify,Device Availability,,55+,Midwest,$35K-$75K,5.0
2016,10344,Cable,Netflix,Device Availability,,45-54,Northeast,$35K-$75K,4.0
2016,11598,print media,YouTube,Price,,25-34,Midwest,<$35K,7.0
2016,10936,cable tv,Paramount+,Price,Content Selection,18-24,Midwest,$75K-$150K,10.0
2016,11158,Cable television,Peacock,Content Selection,,45-54,West,$75K-$150K,6.0
2016,11520,Broadcast,Disney+,Recommendation,Price,35-44,Northeast,$75K-$150K,6.56
2016,11582,Cable television,Disney+,Device Availability,Price,35-44,West,<$35K,4.0
2016,11568,cable tv,Amazon Prime Video,Content Selection,Bundling,55+,Midwest,$75K-$150K,7.9
2016,11014,CABLE TV,Paramount+,Content Selection,Price,45-54,Northeast,$75K-$150K,7.93
2016,11125,cable tv,Hulu,Recommendation,,35-44,West,>$150K,5.0
2016,11046,CABLE TV,Peacock,Content Selection,Recommendation,35-44,South,>$150K,9.0
2016,10231,Broadcast,Hulu,Price,,55+,West,$35K-$75K,7.0
2016,11172,SiriusXM,Spotify,Device Availability,,45-54,South,>$150K,6.25
2016,10233,Broadcast,Hulu,Recommendation,Content Selection,25-34,South,$35K-$75K,
2016,10548,Cable television,Amazon Prime Video,Device Availability,Bundling,35-44,Midwest,<$35K,9.0
2016,11587,Broadcast TV,YouTube,Bundling,,45-54,Northeast,>$150K,8.0
2016,11112,Broadcast TV,Hulu,Bundling,,35-44,Midwest,>$150K,7.0
2016,11686,Cable television,Disney+,Bundling,,45-54,Northeast,>$150K,9.0
2016,10751,Cable television,Max,Convenience,Convenience,35-44,Midwest,>$150K,8.52
2016,11110,Cable television,Apple TV+,Convenience,,55+,Northeast,$35K-$75K,5.0
2016,11684,Network TV,Spotify,Convenience,,55+,South,<$35K,6.0
2016,11549,Satellite Radio,Disney+,Content Selection,,25-34,Northeast,$35K-$75K,
2016,10085,cable tv,Amazon Prime Video,Convenience,Recommendation,55+,West,<$35K,6.0
2016,11556,Newspaper,YouTube,Bundling,Content Selection,35-44,Northeast,$75K-$150K,
2016,11472,CABLE TV,Amazon Prime Video,Content Selection,,25-34,Midwest,>$150K,3.0
2016,10903,Broadcast,Disney+,Bundling,,25-34,Midwest,$75K-$150K,6.0
2016,11118,Cable television,Apple TV+,Recommendation,Recommendation,35-44,West,<$35K,10.0
2016,10447,broadcast tv,Max,Device Availability,Price,35-44,Midwest,$75K-$150K,7.12
2016,10870,broadcast tv,Amazon Prime Video,Content Selection,,25-34,Northeast,>$150K,5.0
2016,10209,Print Media,Peacock,Recommendation,Price,55+,South,$75K-$150K,4.5
2016,11507,Network TV,Apple TV+,Bundling,Content Selection,55+,South,$75K-$150K,8.0
2016,11699,Satellite radio,Apple TV+,Device Availability,Convenience,25-34,Midwest,>$150K,7.0
2016,11338,cable tv,Paramount+,Price,,55+,Northeast,>$150K,8.0
2016,11538,Cable TV,Disney+,Content Selection,,35-44,West,>$150K,5.0
2016,10506,Cable TV,Paramount+,Convenience,,25-34,Midwest,<$35K,8.24
2016,10609,SiriusXM,Hulu,Content Selection,,45-54,West,>$150K,7.0
2016,11791,Cable,Apple TV+,Price,,55+,South,<$35K,6.0
2016,10921,Cable,Hulu,Recommendation,,35-44,South,<$35K,4.54
2016,10538,CABLE TV,YouTube,Bundling,Device Availability,25-34,Midwest,>$150K,6.0
2016,10713,Broadcast,Amazon Prime Video,Device Availability,,25-34,Northeast,$35K-$75K,8.0
2016,11765,SiriusXM,Max,Bundling,,55+,Northeast,<$35K,7.0
2016,11672,CABLE TV,Max,Recommendation,,25-34,Northeast,$75K-$150K,6.5
2016,10178,Broadcast,Peacock,Price,,55+,Northeast,$75K-$150K,7.44
2016,10899,CABLE TV,Amazon Prime Video,Convenience,,35-44,South,<$35K,7.0
2016,10240,Network TV,Apple TV+,Content Selection,Device Availability,18-24,Northeast,>$150K,7.0
2016,11588,cable tv,Amazon Prime Video,Recommendation,,35-44,Midwest,>$150K,
2016,11662,Satellite Radio,Max,Convenience,,35-44,West,<$35K,
2016,10485,Satellite radio,Apple TV+,Convenience,,55+,Midwest,<$35K,9.0
2016,10429,Cable television,Paramount+,Convenience,,45-54,West,$35K-$75K,
2016,11660,print media,Hulu,Recommendation,,45-54,West,$35K-$75K,9.0
2016,11510,Broadcast,Paramount+,Recommendation,Recommendation,45-54,Northeast,<$35K,7.0
2016,11204,Satellite radio,Apple TV+,Bundling,,55+,Northeast,>$150K,8.36
2016,11411,Cable television,Disney+,Bundling,,55+,Northeast,<$35K,6.0
2016,10718,Satellite Radio,Paramount+,Convenience,Convenience,18-24,South,>$150K,5.98
2016,11763,Network TV,Hulu,Recommendation,Price,45-54,Northeast,<$35K,6.0
2016,11455,satellite radio,Spotify,Bundling,Device Availability,45-54,Midwest,$75K-$150K,7.0
2016,11249,satellite radio,Spotify,Bundling,,35-44,West,<$35K,
2016,11295,cable tv,Spotify,Bundling,Price,18-24,South,>$150K,8.0
2016,10876,Broadcast TV,Max,Bundling,Price,45-54,South,>$150K,7.0
2016,10339,CABLE TV,Hulu,Recommendation,,55+,South,>$150K,
2016,11261,Network TV,YouTube,Recommendation,,25-34,South,$35K-$75K,9.0
2016,10285,SiriusXM,YouTube,Device Availability,,35-44,West,$75K-$150K,8.0
2016,11607,Cable television,YouTube,Device Availability,,55+,Midwest,$75K-$150K,5.8
2016,10423,broadcast tv,Apple TV+,Device Availability,Device Availability,25-34,Midwest,<$35K,3.0
